=================================================================================
BASE MODEL BAŞARILI — OPTIMAL (Kusursuz)
=================================================================================

Tarih | Araç Türü | Hat | Kapasite (Desi) | Maliyet
13_Mayis | Spot Kamyon | İstanbul-Tekirdağ | 12000 Desi | 10224 TL
14_Mayis | Kiralık Tir | İstanbul-Tekirdağ | 22400 Desi | 8601 TL
15_Mayis | Kiralık Tir | İstanbul-Tekirdağ | 22400 Desi | 8601 TL
16_Mayis | Kiralık Tir | İstanbul-Tekirdağ | 22400 Desi | 8601 TL
17_Mayis | Kiralık Tir | İstanbul-Tekirdağ | 22400 Desi | 8601 TL
11_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
11_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
12_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
12_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
13_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
13_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
14_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
14_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
15_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
15_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
16_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
16_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
17_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
17_Mayis | Kiralık Tir | İstanbul-Yalova | 22400 Desi | 7606 TL
11_Mayis | Spot Tir | İstanbul-Zonguldak | 22400 Desi | 17725 TL
12_Mayis | Spot Kamyon | İstanbul-Zonguldak | 12000 Desi | 12699 TL
13_Mayis | Spot Kamyon | İstanbul-Zonguldak | 12000 Desi | 12699 TL
14_Mayis | Spot Kamyon | İstanbul-Zonguldak | 12000 Desi | 12699 TL
15_Mayis | Spot Kamyon | İstanbul-Zonguldak | 12000 Desi | 12699 TL
16_Mayis | Spot Kamyonet | İstanbul-Zonguldak | 5600 Desi | 9088 TL
17_Mayis | Spot Kamyonet | İstanbul-Zonguldak | 5600 Desi | 9088 TL
11_Mayis | Spot Tir | İstanbul-Şanlıurfa | 22400 Desi | 35415 TL
12_Mayis | Spot Tir | İstanbul-Şanlıurfa | 22400 Desi | 35415 TL
13_Mayis | Spot Tir | İstanbul-Şanlıurfa | 22400 Desi | 35415 TL
14_Mayis | Spot Kamyon | İstanbul-Şanlıurfa | 12000 Desi | 27558 TL
15_Mayis | Spot Kamyon | İstanbul-Şanlıurfa | 12000 Desi | 27558 TL
16_Mayis | Spot Kamyonet | İstanbul-Şanlıurfa | 5600 Desi | 21825 TL
17_Mayis | Spot Kamyonet | İstanbul-Şanlıurfa | 5600 Desi | 21825 TL
11_Mayis | Spot Kamyon | Şanlıurfa-Eskişehir | 12000 Desi | 23949 TL
12_Mayis | Spot Kamyonet | Şanlıurfa-Eskişehir | 5600 Desi | 18730 TL
13_Mayis | Spot Kamyonet | Şanlıurfa-Eskişehir | 5600 Desi | 18730 TL
14_Mayis | Spot Kamyonet | Şanlıurfa-Eskişehir | 5600 Desi | 18730 TL
15_Mayis | Spot Kamyonet | Şanlıurfa-Eskişehir | 5600 Desi | 18730 TL
16_Mayis | Spot Kamyonet | Şanlıurfa-Eskişehir | 5600 Desi | 18730 TL
11_Mayis | Spot Kamyon | Şanlıurfa-Manisa | 12000 Desi | 28848 TL
12_Mayis | Spot Kamyonet | Şanlıurfa-Manisa | 5600 Desi | 22930 TL
13_Mayis | Spot Kamyonet | Şanlıurfa-Manisa | 5600 Desi | 22930 TL
14_Mayis | Spot Kamyonet | Şanlıurfa-Manisa | 5600 Desi | 22930 TL
15_Mayis | Spot Kamyonet | Şanlıurfa-Manisa | 5600 Desi | 22930 TL
16_Mayis | Spot Kamyonet | Şanlıurfa-Manisa | 5600 Desi | 22930 TL
11_Mayis | Spot Kamyon | Şanlıurfa-Tekirdağ | 12000 Desi | 29934 TL
12_Mayis | Spot Kamyonet | Şanlıurfa-Tekirdağ | 5600 Desi | 23861 TL
13_Mayis | Spot Kamyonet | Şanlıurfa-Tekirdağ | 5600 Desi | 23861 TL
14_Mayis | Spot Kamyonet | Şanlıurfa-Tekirdağ | 5600 Desi | 23861 TL
15_Mayis | Spot Kamyonet | Şanlıurfa-Tekirdağ | 5600 Desi | 23861 TL
16_Mayis | Spot Kamyonet | Şanlıurfa-Tekirdağ | 5600 Desi | 23861 TL

================================================================================
BASE MODEL (Uğramasız & Ertelemesiz) İSTATİSTİKLERİ
================================================================================
  Kiralık Araç Sabit Maliyeti :         802,704 TL
  Spot Araç Maliyeti (Direkt) :       8,802,277 TL
────────────────────────────────────────────────────────────────────────────────
  TOPLAM MALİYET              :       9,604,981 TL
================================================================================
  Çözücü Süre                 :            2.28 sn
================================================================================
